State of Maine Election Results

State Representative - District 41 - Democratic 
Report Name	Summary Report						
							
Election Name	Maine Democratic Primary						
Election Date	July 14, 2020						
Office Title	State Rep 41						
							
	Round 1			Round 2			
Candidate Names	Votes	Percentage	Transfer	Votes	Percentage	Transfer	
Davis, Laurie J.	368	14.61%	-368	0	00.00%	0	
Grant, Benjamin K.	912	36.20%	155	1067	43.30%	0	
Zager, Samuel Lewis	1239	49.19%	158	1397	56.70%	0	
Ballot Exhausted							
   By Overvotes	4		0	4		0	
   By Undervotes	115		54	169		0	
   By Exhausted Choices	0		1	1		0	
Continuing Ballots	2519		0	2464		0	
TOTAL	2638		0	2638		0	
Winning threshold by round	1260			1233			
Generated: 07/21/2020 10:27							
Total = Ballot Exhausted by Overvotes + Ballot Exhausted by Undervotes + Exhausted Ballot  + Continuing Ballots							
Winning Threshold = [Continuing ballots/(Vote for [number] +1)] + 1							
"*" symbol signifies elimination due to Tie Resolution.							
