Department of the Secretary of State 
State of Maine

Report Name	Summary Report						
							
Election Name	Maine Democratic Primary						
Election Date	July 14, 2020						
Office Title	State Rep. 90						
							
	Round 1			Round 2			
Candidate Names	Votes	Percentage	Transfer	Votes	Percentage	Transfer	
Crafts, Lydia V.	920	51.60%	129	1049	60.15%	0	
Levesque, David J.	252	14.13%	-252	0	00.00%	0	
Pieh, Wendy	611	34.27%	84	695	39.85%	0	
Ballot Exhausted							
   By Overvotes	4		3	7		0	
   By Undervotes	51		36	87		0	
   By Exhausted Choices	0		0	0		0	
Continuing Ballots	1783		0	1744		0	
TOTAL	1838		0	1838		0	
Winning threshold by round	892			873			
Generated: 07/21/2020 10:36							
Total = Ballot Exhausted by Overvotes + Ballot Exhausted by Undervotes + Exhausted Ballot  + Continuing Ballots							
Winning Threshold = [Continuing ballots/(Vote for [number] +1)] + 1							
"*" symbol signifies elimination due to Tie Resolution.							
