Department of the Secretary of State 
State of Maine

Report Name	Summary Report						
							
Election Name	Maine Democratic Party  8/3/20						
Election Date	July 14, 2020 						
Office Title	State Senate 11						
							
	Round 1			Round 2			
Candidate Names	Votes	Percentage	Transfer	Votes	Percentage	Transfer	
Curry, Glenn Chip	2294	43.46%	513	2807	55.93%	0	
Pattavina, Charles F.	1316	24.93%	-1316	0	00.00%	0	
Stanicki, Robyn M.	1669	31.62%	543	2212	44.07%	0	
Ballot Exhausted							
   By Overvotes	11		7	18		0	
   By Undervotes	433		243	676		0	
   By Exhausted Choices	0		10	10		0	
Continuing Ballots	5279		0	5019		0	
TOTAL	5723		0	5723		0	
Winning threshold by round	2640			2510			
Generated: 08/03/2020 16:36							
Total = Ballot Exhausted by Overvotes + Ballot Exhausted by Undervotes + Exhausted Ballot  + Continuing Ballots							
Winning Threshold = [Continuing ballots/(Vote for [number] +1)] + 1							
"*" symbol signifies elimination due to Tie Resolution.							
