state,year,type,office,juris,dist,url
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/summary.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/CertificationLetterNov52024.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/sov.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/dsov.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/RCV_Settings_Legend.pdf
CA,2024,general,Mayor,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/mayor/mayor_short.pdf
CA,2024,general,Mayor,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/mayor/mayor_detail.pdf
CA,2024,general,City Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/ca/ca_short.pdf
CA,2024,general,City Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/ca/ca_detail.pdf
CA,2024,general,District Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/da/da_short.pdf
CA,2024,general,District Attorney,San Francisco,Citywide,https://www.sfelections.org/results/20241105/data/20241203/da/da_detail.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/sheriff/sheriff_short.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/sheriff/sheriff_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d1/d1_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d1/d1_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d3/d3_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d3/d3_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d5/d5_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d5/d5_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d7/d7_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d7/d7_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d9/d9_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d9/d9_detail.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d11/d11_short.pdf
CA,2024,general,Board of Supervisors,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/d11/d11_detail.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/N24_DSuite_CVRExportFormat.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/N24_VBM.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/N24_PV.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/N24_CVR.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/20241203/LogFileDescriptions.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/LogFileDescriptions.pdf
CA,2024,general,,San Francisco,At_Large,https://www.sfelections.org/results/20241105/data/SHA512_FAQ.pdf
CA,2022,general,,San Francisco,At_Large,https://www.sfelections.org/results/20221108/data/20221201/summary.pdf
CA,2022,general,,San Francisco,At_Large,https://www.sfelections.org/results/20221108/data/20221201/N2022_CertificationLetter.pdf
CA,2022,general,,San Francisco,At_Large,https://www.sfelections.org/results/20221108/data/20221201/sov.pdf
CA,2022,general,,San Francisco,At_Large,https://www.sfelections.org/results/20221108/data/20221201/dsov.pdf
